Feedstock,Stage,Conventional Crude,Conventional Oil Sand,Conventional Shale Oil,Conventional US Mix,FT-Jet NA NG,FT-Jet Corn Stover,HEFA Soybean,HEFA Rapeseed,HEFA Camelina
GHG,WTP,9.857911423,29.46047355,9.592713652,11.58758272,29.92323282,-65.14164663,-28.12337713,-28.37132538,-20.48743875
[gCO₂e/MJ],PTW,73.18189257,73.18189257,73.18189257,73.18189257,70.44164784,70.44164784,70.44164784,70.44164784,70.44164784
,WTW,83.03980399,102.6423661,82.77460622,84.76947529,100.3648807,5.300001216,42.31827071,42.07032246,49.9542091
VOC: Total,WTP,0.006522366,0.006702596,0.006375808,0.006544334,0.012989046,0.005890545,0.020758555,0.074395059,0.037466806
[g/MJ],PTW,0.006427151,0.006427151,0.006427151,0.006427151,0.006446491,0.006446491,0.006446491,0.006446491,0.006446491
,WTW,0.012949518,0.013129747,0.012802959,0.012971485,0.019435537,0.012337036,0.027205046,0.080841549,0.043913297
CO: Total,WTP,0.009138268,0.016389273,0.008759051,0.009790185,0.025726719,0.016283924,0.02354201,0.031086758,0.03342814
[g/MJ],PTW,0.028868877,0.028868877,0.028868877,0.028868877,0.028429862,0.028429862,0.028429862,0.028429862,0.028429862
,WTW,0.038007145,0.04525815,0.037627928,0.038659063,0.054156581,0.044713786,0.051971871,0.05951662,0.061858002
NOx: Total,WTP,0.014496676,0.024037659,0.011825205,0.015353408,0.030838099,0.022450538,0.032297941,0.060237105,0.059953712
[g/MJ],PTW,0.243743071,0.243743071,0.243743071,0.243743071,0.22416221,0.22416221,0.22416221,0.22416221,0.22416221
,WTW,0.258239747,0.26778073,0.255568275,0.259096479,0.255000308,0.246612748,0.25646015,0.284399314,0.284115922
PM10: Total,WTP,0.000933917,0.001560272,0.000697741,0.000989503,0.001833252,0.003433136,0.002095012,0.004072437,0.004127473
[g/MJ],PTW,0.002981694,0.002981694,0.002981694,0.002981694,0.00023153,0.00023153,0.00023153,0.00023153,0.00023153
,WTW,0.003915611,0.004541966,0.003679434,0.003971197,0.002064781,0.003664666,0.002326541,0.004303967,0.004359003
PM2.5: Total,WTP,0.000782872,0.001340588,0.000572506,0.000832253,0.001749375,0.00248169,0.001765999,0.003446402,0.003550606
[g/MJ],PTW,0.002981694,0.002981694,0.002981694,0.002981694,0.00023153,0.00023153,0.00023153,0.00023153,0.00023153
,WTW,0.003764566,0.004322282,0.0035542,0.003813946,0.001980905,0.002713219,0.001997528,0.003677932,0.003782136
SOx: Total,WTP,0.003844958,0.006216674,0.002021183,0.004060026,0.015926736,0.013165086,0.010963423,0.01904271,0.016949122
[g/MJ],PTW,0.032407407,0.032407407,0.032407407,0.032407407,0,0,0,0,0
,WTW,0.036252365,0.038624082,0.03442859,0.036467434,0.015926736,0.013165086,0.010963423,0.01904271,0.016949122
BC Total,WTP,0.000124283,0.000196278,9.34E-05,0.00013065,0.000107241,0.00073849,0.000399424,0.000560165,0.00089783
[g/MJ],PTW,0.000934552,0.000934552,0.000934552,0.000934552,7.27E-05,7.27E-05,7.27E-05,7.27E-05,7.27E-05
,WTW,0.001058834,0.001130829,0.001027946,0.001065202,0.00017997,0.000811219,0.000472153,0.000632894,0.000970559
OC Total,WTP,0.000227355,0.000458939,0.000146992,0.00024778,0.000221437,0.000364498,0.000516122,0.000709496,0.000752647
[g/MJ],PTW,0.000902228,0.000902228,0.000902228,0.000902228,6.99E-05,6.99E-05,6.99E-05,6.99E-05,6.99E-05
,WTW,0.001129583,0.001361168,0.00104922,0.001150008,0.000291341,0.000434403,0.000586026,0.0007794,0.000822551
VOC: Urban,WTP,0.002525999,0.002493406,0.002515608,0.002523765,0.000968012,0.000897728,0.000589777,0.00062229,0.000662817
[g/MJ],PTW,0.001426027,0.001426027,0.001426027,0.001426027,0.001430318,0.001430318,0.001430318,0.001430318,0.001430318
,WTW,0.003952026,0.003919434,0.003941635,0.003949792,0.00239833,0.002328047,0.002020095,0.002052608,0.002093135
CO: Urban,WTP,0.001229244,0.001357446,0.001199637,0.001242166,0.000815999,0.000606114,0.00124606,0.001422589,0.001359159
[g/MJ],PTW,0.005280557,0.005280557,0.005280557,0.005280557,0.004770564,0.004770564,0.004770564,0.004770564,0.004770564
,WTW,0.006509801,0.006638003,0.006480194,0.006522723,0.005586564,0.005376678,0.006016624,0.006193153,0.006129723
NOx: Urban,WTP,0.001862691,0.002011257,0.001701169,0.001878072,0.00099921,0.000973408,0.00188615,0.002214256,0.002059389
[g/MJ],PTW,0.017665183,0.017665183,0.017665183,0.017665183,0.016243448,0.016243448,0.016243448,0.016243448,0.016243448
,WTW,0.019527874,0.01967644,0.019366352,0.019543255,0.017242658,0.017216856,0.018129598,0.018457704,0.018302837
PM10: Urban,WTP,0.000280824,0.000310461,0.000265861,0.000283579,0.00014575,8.07E-05,0.000125352,0.000147136,0.000143265
[g/MJ],PTW,2.85E-05,2.85E-05,2.85E-05,2.85E-05,5.79E-06,5.79E-06,5.79E-06,5.79E-06,5.79E-06
,WTW,0.000309306,0.000338944,0.000294343,0.000312061,0.000151543,8.64E-05,0.000131145,0.000152929,0.000149058
PM2.5: Urban,WTP,0.000241733,0.000267715,0.000228237,0.000244148,0.000136429,6.38E-05,0.000108559,0.000126938,0.000124304
[g/MJ],PTW,2.85E-05,2.85E-05,2.85E-05,2.85E-05,5.79E-06,5.79E-06,5.79E-06,5.79E-06,5.79E-06
,WTW,0.000270216,0.000296197,0.000256719,0.00027263,0.000142223,6.96E-05,0.000114352,0.000132731,0.000130098
SOx: Urban,WTP,0.000736055,0.000957857,0.000616341,0.000756314,0.000213137,0.000377032,0.000476859,0.000683108,0.000550549
[g/MJ],PTW,0.001126295,0.001126295,0.001126295,0.001126295,0,0,0,0,0
,WTW,0.00186235,0.002084152,0.001742635,0.001882609,0.000213137,0.000377032,0.000476859,0.000683108,0.000550549
BC: Urban,WTP,2.97E-05,3.08E-05,2.80E-05,2.98E-05,1.57E-06,6.72E-06,8.00E-06,1.08E-05,1.10E-05
[g/MJ],PTW,1.02E-05,1.02E-05,1.02E-05,1.02E-05,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06
,WTW,3.99E-05,4.10E-05,3.82E-05,4.00E-05,3.64E-06,8.80E-06,1.01E-05,1.29E-05,1.31E-05
OC: Urban,WTP,4.45E-05,5.23E-05,3.98E-05,4.52E-05,4.11E-06,1.69E-05,2.53E-05,3.20E-05,2.99E-05
[g/MJ],PTW,7.41E-06,7.41E-06,7.41E-06,7.41E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06
,WTW,5.19E-05,5.97E-05,4.72E-05,5.27E-05,5.61E-06,1.84E-05,2.68E-05,3.35E-05,3.14E-05
Total Energy,WTP,0.09899583,0.409756909,0.093169094,0.126917879,0.667199742,1.389188236,0.638950522,0.60743362,0.935046352
[MJ/MJ],PTW,1,1,1,1,1,1,1,1,1
,WTW,1.09899583,1.409756909,1.093169094,1.126917879,1.667199742,2.389188236,1.638950522,1.60743362,1.935046352
Fossil Energy,WTP,0.094425468,0.398942279,0.08917206,0.121789307,0.666347953,0.111862504,0.416797892,0.482700029,0.484615618
[MJ/MJ],PTW,1,1,1,1,1,0,0,0,0
,WTW,1.094425468,1.398942279,1.08917206,1.121789307,1.666347953,0.111862504,0.416797892,0.482700029,0.484615618
Coal,WTP,0.007776326,0.01482594,0.006800828,0.008413514,0.001448344,0.00642707,0.021808778,0.011828795,0.008622885
[MJ/MJ],PTW,0,0,0,0,0,0,0,0,0
,WTW,0.007776326,0.01482594,0.006800828,0.008413514,0.001448344,0.00642707,0.021808778,0.011828795,0.008622885
NG,WTP,0.055579246,0.332427262,0.052761686,0.080332826,0.661765021,0.043492609,0.359386107,0.425963091,0.412500615
[MJ/MJ],PTW,0,0,0,0,1,0,0,0,0
,WTW,0.055579246,0.332427262,0.052761686,0.080332826,1.661765021,0.043492609,0.359386107,0.425963091,0.412500615
Petroleum,WTP,0.031069895,0.051689076,0.029609545,0.033042967,0.003134587,0.061942825,0.035603007,0.044908143,0.063492118
[MJ/MJ],PTW,1,1,1,1,0,0,0,0,0
,WTW,1.031069895,1.051689076,1.029609545,1.033042967,0.003134587,0.061942825,0.035603007,0.044908143,0.063492118
Water consumption,WTP,0.019625709,0.020590842,0.018869352,0.019721545,0.004940638,0.009285409,0.586236409,0.020568162,0.019297187
[gal/MJ],PTW,0,0,0,0,0,0,0,0,0
,WTW,0.019625709,0.020590842,0.018869352,0.019721545,0.004940638,0.009285409,0.586236409,0.020568162,0.019297187
