Metric_Stage,Conventional Crude,Conventional Oil Sand,Conventional Shale Oil,Conventional US Mix,FT-Jet NA NG,FT-Jet Corn Stover,HEFA Soybean,HEFA Rapeseed,HEFA Camelina
BC_Urban_WTP,2.9682e-05,3.08142e-05,2.79916e-05,2.979170724949115e-05,1.569811e-06,6.72388673131583e-06,8.00077160628461e-06,1.08e-05,1.10137467173392e-05
BC_Urban_PTW,1.01068e-05,1.01968e-05,1.01968e-05,1.01968e-05,2.073952e-06,2.07395159217837e-06,2.07395159217837e-06,2.07e-06,2.07395159217837e-06
BC_Urban_WTW,3.98788e-05,4.1012e-05,3.81884e-05,3.99884755280294e-05,3.643763e-06,8.7978383234942e-06,1.0074723198463e-05,1.29e-05,1.30876983095176e-05
BC_Urban_units,[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ]
OC_Urban_WTP,4.45391e-05,5.23301e-05,3.98324e-05,4.52490323445323e-05,4.107599e-06,1.69374331868043e-05,2.52520481759566e-05,3.19727037376088e-05,2.98818e-05
OC_Urban_PTW,7.40547e-06,7.40547e-06,7.40547e-06,7.40547e-06,1.506222e-06,1.506222e-06,1.506222e-06,1.50622182672172e-06,1.506222e-06
OC_Urban_WTW,5.19446e-05,5.97356e-05,4.72379e-05,5.26545065133031e-05,5.613821e-06,1.8443655013526e-05,2.67582700026783e-05,3.34789265643305e-05,3.138802e-05
OC_Urban_units,[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ]
Total_Energy_WTP,0.09899583,0.409756909,0.093169094,0.126917878909108,0.667199742,1.38918823578529,0.638950522,0.60743362,0.935046352
Total_Energy_PTW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total_Energy_WTW,1.09899583,1.409756909,1.093169094,1.126917878909108,1.667199742,2.38918823578529,1.638950522,1.60743362,1.935046352
Total_Energy_units,[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ]
Fossil_Energy_WTP,0.094425468,0.398942279,0.08917206,0.121789307104059,0.666347952885718,0.111862503710653,0.416797892,0.482700029,0.484615618
Fossil_Energy_PTW,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Fossil_Energy_WTW,1.094425468,1.398942279,1.08917206,1.121789307104059,1.666347952885718,0.111862503710653,0.416797892,0.482700029,0.484615618
Fossil_Energy_units,[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ]
Coal_WTP,0.007776326,0.01482594,0.006800828,0.00841351396836307,0.00144834448905017,0.00642707002601286,0.021808778,0.011828795,0.008622885
Coal_PTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_WTW,0.007776326,0.01482594,0.006800828,0.00841351396836307,0.00144834448905017,0.00642707002601286,0.021808778,0.011828795,0.008622885
Coal_units,[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ]
NG_WTP,0.055579246,0.332427262,0.0527616864589601,0.080332826053101,0.661765021422276,0.0434926090601796,0.359386107,0.425963091,0.412500615
NG_PTW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NG_WTW,0.055579246,0.332427262,0.0527616864589601,0.080332826053101,1.661765021422276,0.0434926090601796,0.359386107,0.425963091,0.412500615
NG_units,[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ]
Petroleum_WTP,0.031069895,0.051689076,0.0296095451882095,0.0330429670825945,0.00313458697439192,0.061942824624461,0.035603007,0.044908143,0.063492118
Petroleum_PTW,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Petroleum_WTW,1.031069895,1.051689076,1.0296095451882095,1.0330429670825945,0.00313458697439192,0.061942824624461,0.035603007,0.044908143,0.063492118
Petroleum_units,[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ],[MJ/MJ]
Water_Consumption_WTP,0.019625709,0.020590842,0.0188693515499593,0.01972154493592,0.0049406376125501,0.00928540859953088,0.586236409,0.020568162,0.019297187
Water_Consumption_PTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water_Consumption_WTW,0.019625709,0.020590842,0.0188693515499593,0.01972154493592,0.0049406376125501,0.00928540859953088,0.586236409,0.020568162,0.019297187
Water_Consumption_units,[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ],[gal/MJ]
